Initial,date,course_id,time(m),summary
KM,1/8/24,MATH-215-01,50,Learned about linear systems
KM,1/9/24,DS-160-01,75,In class activities
KM,1/9/24,BUSA-245-02,75,Learned about information systems
KM,1/9/24,PSYC-313-01,75,Learned about histroy of cognition
KM,1/10/24,MATH-215-01,50,Learned about linear systems
KM,1/11/24,PSYC-313-01,75,Learned about histroy of cognition
KM,1/11/24,DS-160-01,75,In class activities
KM,1/11/24,BUSA-245-02,75,Learned about information systems
KM,1/12/24,MATH-215-01,50,Learned about linear systems
KM,1/16/24,BUSA-245-02,23,Lab for class
KM,1/16/24,MATH-215-01,90,Homework
KM,1/18/24,DS-160-01,62,Class Assignment
KM,1/22/24,MATH-215-01,50,Learned about linear systems
KM,1/22/24,DS-160-01,78,Podcast 1
KM,1/23/24,DS-160-01,75,In class activities
KM,1/23/24,BUSA-245-02,75,Learned about information systems
KM,1/23/24,PSYC-313-01,75,Learned about histroy of cognition
KM,1/24/24,MATH-215-01,50,Learned about linear systems
KM,1/24/24,PSYC-313-01,30,Homework
KM,1/24/24,BUSA-245-02,30,Finsihing a lab
KM,1/24/24,BUSA-245-02,23,Online Quiz
KM,1/25/24,PSYC-313-01,75,Learned about histroy of cognition
KM,1/25/24,DS-160-01,75,In class activities
KM,1/25/24,BUSA-245-02,75,Learned about information systems
KM,1/26/24,MATH-215-01,50,Learned about linear systems
KM,1/29/24,MATH-215-01,50,Learned about linear systems
KM,1/30/24,MATH-215-01,60,Homework
KM,1/30/24,PSYC-313-01,75,Learned about histroy of cognition
KM,1/30/24,DS-160-01,75,In class activities
KM,1/30/24,BUSA-245-02,75,Learned about information systems
KM,1/31/24,MATH-215-01,50,Learned about linear systems
KM,2/1/24,PSYC-313-01,75,Learned about histroy of cognition
KM,2/1/24,DS-160-01,75,In class activities
KM,2/1/24,BUSA-245-02,75,Learned about information systems
KM,2/4/24,MATH-215-01,243,Project 1
KM,2/5/24,MATH-215-01,50,Learned about linear systems
KM,2/6/24,PSYC-313-01,75,Learned about histroy of cognition
KM,2/6/24,DS-160-01,75,In class activities
KM,2/6/24,BUSA-245-02,75,Learned about information systems
KM,2/6/24,MATH-215-01,62,Studying for test
KM,2/7/24,PSYC-313-01,210,Studying for test
KM,2/12/24,BUSA-245-02,20,Finsihing a lab
KM,2/13/24,PSYC-313-01,75,Learned about histroy of cognition
KM,2/13/24,DS-160-01,75,In class activities
KM,2/13/24,BUSA-245-02,75,Learned about information systems
KM,2/15/24,PSYC-313-01,75,Learned about histroy of cognition
KM,2/15/24,DS-160-01,75,In class activities
KM,2/15/24,BUSA-245-02,75,Learned about information systems